iterCount,type,time,latitude,longitude,depth,scalar,AnomalyScore,AnomalyMean_Windowsize,AnomalyLikelihood,logLikelihood,place,id,prediction
534,earthquake,2010-08-16T18:56:12.780Z,-7.377,128.583,161.2,5,0.0,"(0.39626168224299063, None)",0.5,0.0301029996658834,"Kepulauan Barat Daya, Indonesia",usp000hjad,None
535,earthquake,2010-08-16T19:03:42.040Z,71.902,-1.626,10,5,0.0,"(0.39552238805970147, None)",0.5,0.0301029996658834,Jan Mayen Island region,usp000hjae,None
536,earthquake,2010-08-16T19:35:49.000Z,-20.799,-178.826,603.2,6.2,0.0,"(0.39478584729981381, None)",0.5,0.0301029996658834,Fiji region,usp000hjaf,None
537,earthquake,2010-08-16T22:19:17.250Z,-8.546,112.53,73.6,5,0.0,"(0.39405204460966542, None)",0.5,0.0301029996658834,"Java, Indonesia",usp000hjan,None
538,earthquake,2010-08-17T01:35:52.260Z,-22.693,171.325,31.4,5,0.0,"(0.39332096474953615, None)",0.5,0.0301029996658834,southeast of the Loyalty Islands,usp000hjap,None
539,earthquake,2010-08-17T01:39:28.500Z,11.602,94.973,13.8,5.4,0.0,"(0.3925925925925926, None)",0.5,0.0301029996658834,"Andaman Islands, India region",usp000hjar,None
540,earthquake,2010-08-17T03:22:50.840Z,-5.321,-80.003,67.2,5.2,0.0,"(0.39186691312384475, None)",0.5,0.0301029996658834,near the coast of northern Peru,usp000hjay,None
541,earthquake,2010-08-17T10:43:57.450Z,-30.042,-177.234,35,5.3,0.0,"(0.39114391143911437, None)",0.5,0.0301029996658834,"Kermadec Islands, New Zealand",usp000hjb6,None
542,earthquake,2010-08-17T15:27:21.570Z,52.914,-170.452,10,5.1,0.0,"(0.39042357274401474, None)",0.5,0.0301029996658834,"Fox Islands, Aleutian Islands, Alaska",usp000hjbk,None
543,earthquake,2010-08-18T16:28:15.440Z,12.234,141.514,10,6.3,0.0,"(0.38970588235294118, None)",0.5,0.0301029996658834,Mariana Islands region,usp000hjda,None
544,earthquake,2010-08-18T19:49:09.770Z,-16.109,-174.139,141.5,5.4,0.0,"(0.38899082568807342, None)",0.5,0.0301029996658834,Tonga,usp000hjdh,None
545,earthquake,2010-08-18T23:33:14.530Z,32.01,137.918,365.3,5.3,0.0,"(0.38827838827838829, None)",0.5,0.0301029996658834,"Izu Islands, Japan region",usp000hjdn,None
546,earthquake,2010-08-19T05:12:05.280Z,-10.084,161.061,64.1,5.2,0.0,"(0.38756855575868371, None)",0.5,0.0301029996658834,Solomon Islands,usp000hje2,None
547,earthquake,2010-08-19T22:13:02.600Z,14.03,-91.121,67.7,5.5,0.0,"(0.38686131386861317, None)",0.5,0.0301029996658834,Guatemala,usp000hjfs,None
548,earthquake,2010-08-19T22:19:18.580Z,11.141,95.071,20,5.1,0.0,"(0.38615664845173042, None)",0.5,0.0301029996658834,"Andaman Islands, India region",usp000hjft,None
549,earthquake,2010-08-19T22:42:21.540Z,18.621,146.415,69.6,5.2,0.0,"(0.38545454545454544, None)",0.5,0.0301029996658834,"Pagan region, Northern Mariana Islands",usp000hjfw,None
