time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-05-15T10:21:36.880Z,-21.9832,-176.5318,161.43,5,mb,,43,6.613,1.26,us,us1000298m,2015-05-15T18:30:09.828Z,"162km WSW of Vaini, Tonga",earthquake
2015-05-15T03:30:34.610Z,37.017,141.2744,40.43,5.1,mb,,120,0.933,0.97,us,us10002964,2015-05-15T13:16:46.987Z,"34km E of Iwaki, Japan",earthquake
2015-05-14T23:54:31.180Z,-5.5984,152.4017,10,5.1,mb,,39,1.418,0.9,us,us1000295d,2015-05-15T07:57:01.971Z,"138km S of Kokopo, Papua New Guinea",earthquake
2015-05-14T17:38:21.490Z,-5.9752,128.3002,368.34,5.1,mb,,19,3.582,0.77,us,us1000290b,2015-05-15T01:41:02.107Z,"249km S of Amahusu, Indonesia",earthquake
2015-05-14T16:01:21.560Z,24.0797,61.2048,17.61,5.3,mb,,57,4.635,0.83,us,us100028z8,2015-05-15T15:02:26.953Z,"120km SSW of Jiwani, Pakistan",earthquake
2015-05-14T15:08:05.590Z,-28.6301,-71.4866,30.96,5.1,mww,,60,0.558,1.17,us,us100028yq,2015-05-15T17:07:56.040Z,"71km W of Vallenar, Chile",earthquake
2015-05-14T14:08:17.660Z,10.961,-86.2473,52.33,5.1,mb,,182,0.977,1.4,us,us100028yd,2015-05-14T22:48:29.512Z,"52km SW of San Juan del Sur, Nicaragua",earthquake
2015-05-14T13:34:39.230Z,-7.4906,154.655,45.77,5.3,mb,,116,4.109,0.91,us,us100028yb,2015-05-14T21:37:12.107Z,"158km SW of Panguna, Papua New Guinea",earthquake
2015-05-14T12:30:20.930Z,-7.4449,154.6651,50.36,5.4,mb,,32,4.079,1.3,us,us100028y2,2015-05-14T20:33:14.749Z,"154km SW of Panguna, Papua New Guinea",earthquake
2015-05-14T01:00:40.390Z,-7.0217,129.8279,125.01,5,mb,,44,1.743,0.84,us,us100028vq,2015-05-14T09:03:07.465Z,"193km WNW of Saumlaki, Indonesia",earthquake
2015-05-13T21:38:06.130Z,27.7255,86.0674,10,5,mb,,55,0.698,0.92,us,us100028tz,2015-05-15T02:12:39.510Z,"27km SSE of Kodari, Nepal",earthquake
2015-05-13T19:18:08.590Z,-35.3642,-178.649,10,5.2,mb,,161,3.291,0.91,us,us100028t2,2015-05-14T03:20:51.537Z,"East of the North Island of New Zealand",earthquake
2015-05-13T02:32:25.590Z,-7.5035,154.9777,35.41,5,mb,,162,4.32,1.18,us,us20002eva,2015-05-13T10:34:58.584Z,"142km SSW of Panguna, Papua New Guinea",earthquake
2015-05-13T00:01:59.270Z,1.8546,126.4171,52.7,5.1,mb,,90,1.434,1.23,us,us20002eui,2015-05-13T08:04:31.440Z,"144km ENE of Bitung, Indonesia",earthquake
2015-05-12T21:25:12.280Z,27.7767,84.5866,10,5.2,mb,,72,1.978,1.44,us,us20002etn,2015-05-14T02:04:07.468Z,"18km NE of Bharatpur, Nepal",earthquake
2015-05-12T21:12:58.950Z,38.902,142.0324,38.86,6.8,mwp,,38,1.42,1.01,us,us20002et4,2015-05-22T01:57:24.893Z,"33km SE of Ofunato, Japan",earthquake
2015-05-12T18:03:57.120Z,-5.4447,152.3208,65.71,5,mb,,67,1.255,0.66,us,us20002er2,2015-05-13T17:02:50.253Z,"120km S of Kokopo, Papua New Guinea",earthquake
2015-05-12T14:52:18.210Z,-52.3685,27.8746,10,5,mb,,59,20.627,0.57,us,us20002eph,2015-05-12T22:54:56.240Z,"South of Africa",earthquake
2015-05-12T10:03:22.520Z,-15.1628,-173.308,10,5,mb,,61,1.936,1.47,us,us20002eml,2015-05-12T18:05:59.326Z,"99km NNE of Hihifo, Tonga",earthquake
2015-05-12T08:21:10.880Z,27.7094,86.056,15,5.2,mb,,88,0.713,0.76,us,us20002ekr,2015-05-12T10:05:23.866Z,"28km SSE of Kodari, Nepal",earthquake
2015-05-12T08:13:54.890Z,27.8169,85.8173,15,5.1,mb,,88,0.891,0.71,us,us20002ekq,2015-05-13T07:48:40.122Z,"19km SW of Kodari, Nepal",earthquake
2015-05-12T08:06:07.590Z,27.6427,85.9468,15,5,mb,,88,5.679,0.83,us,us20002ekk,2015-05-13T06:04:03.790Z,"34km S of Kodari, Nepal",earthquake
2015-05-12T07:43:17.620Z,27.6222,86.2691,12.61,5.1,mb,,70,0.586,1.06,us,us100029fi,2015-05-15T17:03:58.350Z,"37km NNE of Ramechhap, Nepal",earthquake
2015-05-12T07:36:53.830Z,27.618,86.1659,15,6.3,mb,,17,0.665,0.93,us,us20002ek5,2015-05-19T21:23:12.646Z,"33km NNE of Ramechhap, Nepal",earthquake
2015-05-12T07:34:22.950Z,27.6823,86.2015,15,5.4,mb,,83,0.606,0.72,us,us20002ek3,2015-05-12T15:36:56.518Z,"36km SSW of Zuobude, China",earthquake
2015-05-12T07:22:04.970Z,-7.2685,129.2275,154.65,5.4,mb,,75,2.172,1.22,us,us20002ejv,2015-05-12T08:06:01.671Z,"242km WNW of Saumlaki, Indonesia",earthquake
2015-05-12T07:17:20.350Z,27.792,86.1334,10,5.6,mb,,164,0.623,0.76,us,us20002ek0,2015-05-14T17:10:39.147Z,"25km SE of Kodari, Nepal",earthquake
2015-05-12T07:05:19.030Z,27.8368,86.0772,15,7.3,mww,,27,0.661,0.89,us,us20002ejl,2015-05-19T21:17:11.266Z,"18km SE of Kodari, Nepal",earthquake
2015-05-12T06:27:06.320Z,-9.9331,108.8459,29.72,5.1,mb,,57,2.572,1.24,us,us20002ejb,2015-05-12T14:29:45.078Z,"238km S of Sindangsari, Indonesia",earthquake
2015-05-11T17:42:02.090Z,-7.7453,67.8178,10,5.3,mb,,41,4.606,0.96,us,us20002edu,2015-05-12T17:21:11.749Z,"Mid-Indian Ridge",earthquake
2015-05-11T15:45:08.170Z,1.5219,127.3115,156.48,5.2,mb,,22,0.747,0.71,us,us20002ed1,2015-05-11T23:47:45.318Z,"80km N of Ternate, Indonesia",earthquake
2015-05-11T11:51:20.610Z,-7.2249,154.377,38.98,5.5,mb,,34,3.732,0.86,us,us20002ec9,2015-05-11T19:53:57.926Z,"158km SW of Panguna, Papua New Guinea",earthquake
2015-05-11T07:35:43.420Z,47.1608,154.081,10,5.3,mb,,122,6.391,1.18,us,us20002ebe,2015-05-11T22:33:55.040Z,"Kuril Islands",earthquake
2015-05-11T04:01:27.910Z,1.7252,126.449,40.14,5,mb,,59,1.318,0.94,us,us20002eau,2015-05-11T12:03:58.740Z,"144km ENE of Bitung, Indonesia",earthquake
2015-05-11T03:30:15.790Z,-20.5885,-178.6971,606.76,5,mb,,41,4.175,1.02,us,us20002eap,2015-05-11T11:32:52.674Z,"6km N of Ndoi Island, Fiji",earthquake
2015-05-11T00:03:59.260Z,31.2064,141.9051,21.94,5,mb,,63,2.601,0.7,us,us20002ea2,2015-05-18T04:24:09.385Z,"287km SE of Hachijo-jima, Japan",earthquake
2015-05-10T21:25:46.540Z,31.2467,142.3746,17.97,5.6,mb,,104,2.861,1,us,us20002e96,2015-05-11T05:28:19.300Z,"Izu Islands, Japan region",earthquake
2015-05-10T18:28:14.730Z,-5.3931,152.3855,52.08,5,mb,,72,1.214,0.75,us,us20002e8q,2015-05-11T02:30:48.476Z,"115km S of Kokopo, Papua New Guinea",earthquake
2015-05-10T17:14:31.160Z,31.1298,141.9661,10,5.1,mb,,122,4.024,0.73,us,us20002e8f,2015-05-11T01:17:13.651Z,"297km SE of Hachijo-jima, Japan",earthquake
2015-05-10T16:54:42.230Z,31.172,141.9324,6.6,5.3,mb,,33,2.642,0.66,us,us20002e88,2015-05-11T03:00:10.040Z,"292km SE of Hachijo-jima, Japan",earthquake
2015-05-10T00:50:18.230Z,14.8659,-93.9904,6.65,5.6,mb,,91,2.247,1.1,us,us20002e4x,2015-05-10T21:56:33.000Z,"121km SSW of Tres Picos, Mexico",earthquake
2015-05-09T13:08:48.310Z,-7.5647,154.6958,35,5.2,mb,,175,7.675,1.23,us,us20002e2m,2015-05-09T21:11:25.034Z,"163km SSW of Panguna, Papua New Guinea",earthquake
2015-05-09T11:14:27.640Z,-5.8511,151.6131,41.98,5.4,mb,,25,1.737,0.99,us,us20002e1u,2015-05-10T03:56:34.000Z,"166km ESE of Kimbe, Papua New Guinea",earthquake
2015-05-09T09:42:36.740Z,-5.7126,152.2536,12.63,5.5,mb,,59,1.514,1.01,us,us20002e1g,2015-05-13T21:57:00.000Z,"150km S of Kokopo, Papua New Guinea",earthquake
2015-05-09T03:27:30.190Z,-5.6749,152.344,49.83,5.2,mb,,41,1.484,0.85,us,us20002dzt,2015-05-09T11:30:01.015Z,"146km S of Kokopo, Papua New Guinea",earthquake
2015-05-08T09:07:05.220Z,-5.5093,152.6131,46.11,5.1,mb,,79,1.383,1.09,us,us20002dqg,2015-05-08T17:09:42.043Z,"124km SSW of Taron, Papua New Guinea",earthquake
2015-05-08T07:52:05.650Z,-6.1632,149.8339,36.9,5.3,mb,,35,3.036,0.89,us,us20002dqa,2015-05-09T19:56:38.000Z,"31km E of Kandrian, Papua New Guinea",earthquake
2015-05-08T03:12:20.490Z,1.5464,97.8673,34.42,5.9,mb,,23,0.378,0.95,us,us20002dp5,2015-05-13T21:56:59.000Z,"103km WSW of Sibolga, Indonesia",earthquake
2015-05-08T03:01:50.630Z,-7.2164,154.7907,45.49,5,mb,,63,3.983,0.84,us,us20002dp6,2015-05-08T11:04:24.101Z,"125km SW of Panguna, Papua New Guinea",earthquake
2015-05-07T21:18:43.170Z,-4.8702,152.0973,35,5.1,mb,,23,0.677,0.75,us,us20002dkr,2015-05-17T02:18:57.231Z,"60km SSW of Kokopo, Papua New Guinea",earthquake
2015-05-07T19:54:03.470Z,-19.0903,-172.789,10,5,mb,,83,2.706,1.2,us,us20002djj,2015-05-08T03:58:01.561Z,"134km ESE of Neiafu, Tonga",earthquake
2015-05-07T11:33:00.420Z,-7.0577,154.3851,10,5.5,mb,,56,3.605,0.89,us,us20002dcs,2015-05-18T03:56:43.000Z,"146km SW of Panguna, Papua New Guinea",earthquake
2015-05-07T10:00:47.010Z,11.6949,142.0876,10,5.1,mb,,48,3.303,0.76,us,us20002dce,2015-05-07T18:03:17.101Z,"273km NE of Fais, Micronesia",earthquake
